STEM_1,STEM_2,STEM_3,STEM_4,STEM_5,STEM_6,STEM_7,STEM_8,STEM_9,AH_1,AH_2,AH_3,AH_4,AH_5,AH_6,AH_7,AH_8,AH_9,Books_STEM,Books_AH,OLD_STEM,OLD_AH
3,4,5,3,3,3,3,3,2,3,4,4,3,3,3,3,3,2,1,0,109,121
4,4,3,3,3,4,3,2,4,3,3,2,2,2,3,2,2,3,0,0,116,83
4,4,4,3,3,3,3,3,4,3,2,2,2,3,2,2,2,2,1,-0,110,95
5,4,4,4,4,3,4,3,3,3,2,3,3,2,2,2,2,2,1,2,123,80
4,3,5,3,3,4,3,3,3,3,2,4,3,1,3,2,2,2,1,-0,114,123
3,3,3,3,2,3,3,3,3,3,2,2,1,1,3,3,3,2,0,1,102,92
2,2,5,2,2,2,1,1,1,3,2,5,3,1,2,2,2,1,0,1,86,76
3,3,5,3,3,3,3,2,3,4,4,5,5,3,4,4,3,4,0,1,106,111
3,4,2,2,3,2,2,2,2,4,5,3,3,4,2,3,3,3,0,1,97,116
3,4,5,2,2,2,3,1,3,3,3,4,2,2,2,3,2,2,-0,1,86,85
3,3,3,3,2,3,2,3,2,3,3,3,5,2,4,2,3,2,0,1,88,85
4,2,3,3,2,3,2,1,2,3,2,3,3,2,4,2,2,2,0,-0,87,100
3,4,4,3,2,3,2,2,1,3,4,4,4,2,4,3,3,2,0,0,99,104
5,4,5,4,4,4,4,4,4,3,3,4,3,4,4,3,3,2,2,2,149,107
2,2,3,3,2,2,2,1,2,2,2,3,3,2,1,2,1,2,-0,-0,106,89
2,2,3,3,2,2,2,2,1,2,1,2,3,1,2,2,2,1,-0,-0,105,92
4,4,2,2,2,2,2,2,1,3,5,2,2,3,2,3,2,2,1,-0,84,87
4,3,2,3,2,2,3,1,2,4,3,3,3,1,2,3,2,2,0,0,100,103
3,2,2,2,2,2,1,1,1,4,2,3,4,3,3,3,3,2,-0,0,80,97
3,3,3,3,2,2,2,2,1,3,3,4,4,1,3,3,2,2,-0,1,92,111
5,3,2,2,2,2,2,1,1,4,3,2,2,3,2,2,2,2,-0,0,89,91
3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,4,3,2,-0,1,103,94
4,4,2,4,4,3,3,3,3,4,3,3,5,4,2,3,3,2,0,1,129,122
5,4,2,3,3,3,3,3,3,5,4,3,2,4,2,3,3,3,1,0,105,123
3,4,5,4,3,3,3,2,3,3,3,4,4,4,2,3,2,2,1,-0,113,88
3,3,2,2,2,2,1,1,3,3,3,2,2,2,3,2,2,3,0,-0,71,104
2,4,5,3,3,3,3,2,3,3,3,4,2,3,3,3,2,3,-0,0,96,93
3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,2,2,1,1,0,115,101
3,4,3,4,3,3,3,3,3,3,3,3,5,3,3,2,3,2,0,0,118,83
5,4,3,3,3,3,3,3,3,4,3,3,3,1,2,3,3,2,1,1,100,110
3,2,3,3,2,3,3,2,3,3,1,2,3,1,4,3,2,2,0,1,104,91
5,4,3,3,4,3,3,2,3,4,3,3,3,4,3,3,2,2,1,1,104,101
3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,2,2,2,0,101,75
2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,-0,0,110,87
1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,-0,-0,71,91
4,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,0,0,97,104
3,3,1,3,2,2,2,3,3,3,3,2,5,2,3,3,2,3,-0,1,98,100
3,3,2,3,2,2,2,3,2,4,4,3,3,3,3,3,4,3,0,3,90,115
4,3,3,3,3,3,3,1,3,3,2,3,2,5,3,4,2,3,-0,1,106,98
3,3,2,3,3,3,3,2,3,4,3,3,4,3,4,3,3,3,0,0,111,112
3,2,5,2,2,3,2,1,1,3,2,4,2,2,4,3,2,2,-0,0,92,107
2,2,1,2,2,2,2,3,2,2,2,1,2,2,2,2,2,1,-0,-0,74,73
4,5,5,4,5,4,4,2,4,4,5,5,5,5,5,3,3,4,2,1,142,123
