I keep a consistent schedule.,I look sternly at the students.,I point out the children who are disruptive.,I remind the class about the rules on the wall.,I raise my voice.,I express my disappointment in the children.,I change the subject to something more intresting.,I act more enthusiastic.,I engage distracted children with questions.,I insist on silence.,I wait until the children are quiet.,I use a ritual the children know to get the children's attention.,I let the class get out of hand.,I talk about why the activity is more interesting than they think.
0.26398562,0.556859509,1.795404421,-0.834388749,0.603590431,-0.869587825,0.963870113,-0.383248016,0.675760708,1.746858971,-1.582658224,-0.465706399,0.038744197,0.034223044
1.483543261,1.871612487,1.703065126,2.054123636,0.727557704,-0.370641326,0.770196065,0.631158779,0.765551865,-0.06747527,0.101518871,0.289618496,-1.329814739,-0.558243936
-1.108955907,-0.930866963,-1.509491019,0.111413067,-1.023542865,-1.565932244,-1.304542952,1.255900089,0.27865157,-1.033710105,0.980524491,-0.740640049,-0.534783735,-0.192621639
-0.082162095,0.263563969,0.10452007,-0.604692008,-1.082698901,-0.394550382,-0.963988313,0.106398526,-1.031666817,-0.898389889,-0.733558882,-0.755071363,-0.211539292,-1.545900546
-0.166183515,-1.780556485,0.630911573,-1.000697601,-1.471703398,-0.569089093,1.226503401,1.871912711,1.312688671,0.891335943,0.581414335,-0.45209652,0.267380691,2.57096128
1.156900047,0.065986184,0.605679143,0.885056691,-0.565235376,0.064523028,-0.771589114,-1.635686927,-2.026944499,0.904519293,-1.377716744,0.507056136,-1.596983354,-1.085548356
-2.384163802,-0.740002707,0.166099712,-1.06023479,-0.956014752,0.252829216,0.183761786,-1.412768244,0.299288854,-1.371252656,0.639647111,-0.041272053,0.302598162,1.15E-04
-1.366354677,0.18883155,0.575762389,0.125133678,-0.702059069,-0.454099555,-0.289247947,1.445922361,0.771246084,0.664049093,0.850424633,-0.30685922,0.04137882,-0.550016749
1.964200035,0.910151885,0.331807516,1.075869772,-0.966851386,0.938882635,-0.78663084,-1.292191446,-0.970596456,0.84033997,0.140741029,1.369987425,-0.900873487,-1.745430272
-1.003893751,0.807028284,0.509568851,-0.072332774,-0.695493477,0.605433536,0.069817707,-0.078811671,-1.293971765,1.06085861,-0.879322553,0.099608166,-0.46148088,-0.151507201
-1.75920159,-1.467482235,-0.860357953,-1.426909006,-0.472363798,-0.673559113,-0.225569272,-0.238713408,-0.294167043,-0.401312896,0.727621455,-2.06279497,1.325517468,1.245587826
1.422503454,0.923110143,0.823548862,1.70380204,-0.129089946,0.728635438,-0.145952091,-0.654446141,-0.93054692,1.128369998,-0.647159101,0.917192385,0.808547675,-1.21326561
-2.423047531,0.863119936,-0.625788852,-0.205083465,-0.68967938,0.366849111,-0.822735463,1.047936776,0.119440399,-0.134776558,0.483858794,-0.126732932,-0.145489515,-0.25240887
-1.253463293,-1.090375906,-1.445923572,-0.030769477,0.076227509,-0.209527701,1.184821041,-0.160861072,1.456703535,0.608590432,-0.585537506,-1.3085745,0.376945628,0.890038564
0.659121089,1.091587316,0.451749836,0.322412233,-0.531996805,0.361212258,0.976466048,-1.468686052,1.120569535,1.669778462,0.851217422,-0.276221309,0.674710078,0.792398001
0.867889853,-0.063165737,0.150083088,0.585403537,-0.294811174,-1.027424543,-0.444379838,0.139401271,-0.57492597,0.320530631,-1.036485276,0.21015069,-1.198231452,-1.017446065
