X_1,X_2,X_3,X_4
100,80,131,87
100,117,93,116
102,88,84,112
114,137,105,137
117,110,101,99
100,120,110,152
102,94,104,99
88,92,87,53
94,115,103,96
99,73,110,76
102,98,93,112
100,115,134,102
96,104,115,99
97,106,97,123
90,88,97,79
99,113,119,115
107,110,121,119
93,102,131,111
110,107,96,109
110,103,105,112
102,135,159,154
108,138,104,114
99,82,101,65
105,150,126,178
84,84,97,97
94,113,97,105
105,133,129,124
108,127,102,121
92,108,112,116
98,106,80,83
94,88,98,102
101,108,120,155
94,87,97,123
92,113,111,60
104,132,89,138
119,118,114,152
102,109,86,70
94,95,123,93
93,113,91,131
96,74,106,39
91,101,82,84
103,71,70,63
95,105,99,96
109,53,132,89
113,75,99,94
100,90,125,102
85,47,120,23
85,121,93,98
116,129,110,128
113,123,125,122
88,76,105,20
84,73,117,98
98,83,76,101
108,104,82,136
103,116,99,112
102,104,112,114
115,112,82,166
107,121,102,160
125,112,90,126
103,121,129,128
99,106,131,113
95,118,103,104
103,105,99,132
127,110,120,139
94,90,85,35
94,76,114,45
96,91,111,108
97,89,91,107
117,98,100,124
87,60,68,64
110,117,109,115
104,132,96,150
113,91,100,84
111,103,91,62
84,97,102,77
96,109,111,120
118,89,62,77
106,92,86,82
72,46,109,-2
101,126,109,127
111,124,123,143
101,118,101,122
107,130,130,140
103,125,111,135
107,92,96,99
89,104,100,103
112,116,114,98
102,92,83,77
98,129,130,112
105,91,94,56
108,100,79,120
96,85,85,101
95,104,105,146
83,80,86,55
110,100,114,99
104,89,91,110
119,90,84,105
92,105,85,104
120,93,71,103
109,129,125,121
88,81,96,65
99,128,105,132
89,121,82,111
111,132,108,113
120,91,93,64
89,99,117,84
105,67,135,68
100,114,114,96
91,121,119,130
94,91,83,99
89,95,72,87
114,100,90,106
97,101,112,117
66,83,97,25
97,78,94,65
92,92,89,77
108,130,127,169
104,149,129,169
89,98,89,71
108,117,81,107
100,65,87,60
88,110,91,119
111,118,131,118
116,99,92,99
116,120,108,114
106,92,84,59
99,101,74,72
93,113,69,116
