school_id,Intervention,GPA,Absences,Dropout
1,Treatment,1.736347249607337,4,0
1,Treatment,2.5689805572530733,4,0
1,Treatment,2.734644019598247,1,0
1,Treatment,2.36997491275725,1,0
1,Treatment,0.28709586209757226,2,0
1,Treatment,0.4787912096441705,2,0
1,Treatment,3.263315332432928,4,0
1,Treatment,3.9514668937479502,1,0
1,Treatment,3.824413506690704,1,0
1,Treatment,1.7141284867731614,5,0
1,Treatment,3.051587365270862,3,0
1,Treatment,2.542775790918424,6,0
1,Treatment,1.9859318946005764,1,0
1,Treatment,0.6758005425602313,3,0
1,Treatment,3.56141316310196,1,0
1,Treatment,1.5625659294635297,2,0
1,Treatment,3.2931371665104834,1,0
1,Treatment,2.3511121976195923,4,0
1,Treatment,2.414588161093417,3,0
1,Treatment,3.207536204808371,2,0
1,Treatment,1.7858164183853076,5,0
1,Treatment,3.3571929730907466,1,0
1,Treatment,3.2538869130527712,1,0
1,Treatment,2.547833550175819,3,0
1,Treatment,2.8514471690056635,1,0
1,Treatment,3.5217479114733927,1,0
1,Treatment,1.3430173941394592,1,0
1,Treatment,2.8996756049657972,1,0
1,Treatment,1.7632341769189497,4,0
1,Treatment,3.6320090025676546,1,0
1,Treatment,1.6305399367435711,3,0
1,Treatment,1.70472189910276,6,0
2,Treatment,0.8459661425791782,6,0
2,Treatment,1.8471736137776893,2,0
2,Treatment,3.787353595679616,0,0
2,Treatment,2.4274647795423236,0,0
2,Treatment,3.705074322364784,3,0
2,Treatment,2.1707564183560937,4,0
2,Treatment,2.8742975715562613,4,0
2,Treatment,1.4872021322394766,4,0
2,Treatment,2.230971607101044,1,0
2,Treatment,3.7975633554566888,3,0
2,Treatment,2.469380495766231,2,0
2,Treatment,1.390581507587073,3,0
2,Treatment,3.9743804120899866,0,0
2,Treatment,3.1079572844185632,2,0
2,Treatment,1.3916448109507795,4,0
2,Treatment,1.5125468371231128,5,0
2,Treatment,1.08821235829607,7,0
2,Treatment,2.780602488302769,1,0
2,Treatment,2.7468951660192853,1,0
2,Treatment,1.0734827018325972,3,0
2,Treatment,3.0209321179182287,2,0
2,Treatment,3.818323483170828,1,0
2,Treatment,2.216997597480846,3,0
2,Treatment,3.044990179478914,2,0
2,Treatment,3.236579174324476,2,0
2,Treatment,2.6680575140828884,5,0
2,Treatment,3.6914422117941585,2,0
2,Treatment,2.3993706829153503,2,0
2,Treatment,2.9603817083717687,6,0
2,Treatment,1.1962858446325888,9,0
3,Treatment,2.4717990546790465,2,0
3,Treatment,3.0382142404017194,2,0
3,Treatment,2.1931849312257223,3,0
3,Treatment,3.7262196817469087,2,0
3,Treatment,1.2263424113242372,4,0
3,Treatment,2.413261340824173,3,0
3,Treatment,1.3888778164025852,6,0
3,Treatment,2.5775733688816147,0,0
3,Treatment,2.3825598131512833,4,0
3,Treatment,1.952165037328422,2,0
3,Treatment,3.42420587572181,3,0
3,Treatment,0.6273496494420288,3,0
3,Treatment,2.225308282114374,3,0
3,Treatment,2.5719855817452255,4,0
3,Treatment,3.216055627818682,1,0
3,Treatment,1.5060438852212377,2,0
3,Treatment,2.5826072954537196,2,0
3,Treatment,2.32476437147477,1,0
3,Treatment,2.4547579074796597,3,0
3,Treatment,2.120037788523033,2,0
3,Treatment,3.5327646508523975,1,0
3,Treatment,2.765589823788959,4,0
3,Treatment,0.6163753321725204,2,0
3,Treatment,2.9380778153388913,5,0
3,Treatment,3.191263339014355,1,0
3,Treatment,1.8183235601379852,3,0
3,Treatment,2.170014805652378,6,0
4,Treatment,2.6618370560103477,4,0
4,Treatment,3.655332990332498,2,0
4,Treatment,1.1599163800069028,7,0
4,Treatment,1.0236813773187643,4,0
4,Treatment,2.9324025412512897,7,0
4,Treatment,3.5147233715863178,3,0
4,Treatment,2.695747943340361,6,0
4,Treatment,1.2233077574241875,5,0
